,gender,customer_type,age,type_of_travel,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,food_and_drink,inflight_entertainment,baggage_handling,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
0,Male,Loyal Customer,69,Personal Travel,32,3,2,3,5,1,1,3,14,0,Dissatisfied
2,Male,Disloyal Customer,41,Business travel,0,1,1,3,4,4,4,4,0,0,Neutral
3,Male,Loyal Customer,52,Business travel,0,2,4,4,1,2,2,4,0,6,Dissatisfied
4,Female,Disloyal Customer,21,Business travel,0,4,0,3,4,4,4,4,0,0,Neutral
5,Female,Loyal Customer,57,Business travel,0,3,4,4,5,2,3,2,0,0,Dissatisfied
6,Female,Loyal Customer,45,Business travel,0,0,0,0,3,3,3,5,0,21,Satisfied
15,Female,Loyal Customer,39,Business travel,56,2,5,5,5,2,5,5,0,0,Satisfied
16,Female,Loyal Customer,33,Business travel,56,4,5,4,1,4,4,2,0,0,Satisfied
30,Male,Loyal Customer,55,Business travel,67,5,5,5,1,5,5,2,10,12,Satisfied
31,Male,Loyal Customer,59,Business travel,67,5,5,3,4,4,4,4,0,0,Neutral
34,Female,Loyal Customer,53,Business travel,67,3,3,3,4,4,4,4,0,0,Neutral
35,Female,Loyal Customer,56,Business travel,67,1,4,4,1,3,1,3,0,0,Dissatisfied
36,Male,Loyal Customer,47,Business travel,67,5,5,5,3,4,5,2,0,0,Satisfied
42,Female,Loyal Customer,54,Business travel,67,1,5,5,4,4,1,3,36,16,Dissatisfied
43,Female,Loyal Customer,57,Business travel,67,0,5,0,5,5,5,2,0,0,Satisfied
45,Female,Disloyal Customer,25,Business travel,67,2,4,2,3,3,5,3,0,0,Satisfied
48,Female,Loyal Customer,51,Business travel,67,3,3,3,2,4,5,4,10,0,Satisfied
49,Male,Loyal Customer,47,Business travel,67,5,5,4,2,4,5,4,0,0,Satisfied
56,Female,Loyal Customer,60,Business travel,67,4,2,2,5,3,4,3,9,6,Dissatisfied
59,Male,Loyal Customer,27,Business travel,67,0,5,0,3,3,1,3,0,8,Satisfied
67,Female,Loyal Customer,56,Business travel,67,1,1,1,2,5,4,4,0,0,Satisfied
77,Male,Loyal Customer,60,Business travel,67,4,4,4,3,5,4,5,35,49,Satisfied
78,Male,Loyal Customer,43,Business travel,67,2,2,3,4,4,4,4,0,0,Neutral
82,Female,Loyal Customer,69,Business travel,67,2,2,2,1,3,2,4,7,8,Dissatisfied
83,Male,Loyal Customer,54,Business travel,67,4,4,3,4,4,4,4,0,0,Neutral
94,Female,Disloyal Customer,25,Business travel,67,1,0,1,3,3,4,3,0,0,Satisfied
100,Male,Disloyal Customer,20,Business travel,67,2,2,2,4,5,4,4,11,36,Dissatisfied
101,Male,Disloyal Customer,19,Business travel,67,0,3,0,4,4,4,4,0,0,Satisfied
105,Male,Loyal Customer,63,Personal Travel,67,2,5,2,2,3,3,5,61,65,Dissatisfied
106,Male,Loyal Customer,50,Business travel,67,4,4,4,2,5,5,5,0,0,Satisfied
116,Female,Loyal Customer,39,Business travel,67,4,4,4,3,3,5,3,20,10,Satisfied
124,Male,Loyal Customer,39,Business travel,67,4,4,4,3,5,5,2,0,0,Satisfied
126,Male,Loyal Customer,51,Business travel,67,1,1,1,2,4,4,5,116,107,Satisfied
127,Female,Loyal Customer,38,Business travel,67,4,1,1,1,3,4,4,26,103,Dissatisfied
135,Male,Loyal Customer,46,Business travel,67,1,1,1,2,4,5,5,0,9,Satisfied
137,Female,Disloyal Customer,85,Business travel,67,4,4,4,4,2,4,4,0,0,Satisfied
146,Female,Loyal Customer,46,Business travel,67,3,3,3,4,4,4,5,0,0,Satisfied
160,Male,Loyal Customer,45,Business travel,73,4,2,3,4,4,4,4,0,0,Neutral
170,Male,Loyal Customer,59,Business travel,73,3,5,3,5,3,5,4,13,18,Satisfied
176,Male,Loyal Customer,41,Business travel,73,3,3,3,2,4,5,5,0,0,Satisfied
179,Female,Disloyal Customer,26,Business travel,73,1,2,1,4,4,3,4,0,0,Dissatisfied
180,Male,Loyal Customer,42,Business travel,73,1,1,1,1,4,5,3,50,43,Satisfied
192,Male,Loyal Customer,56,Business travel,73,4,4,4,4,5,4,5,0,0,Satisfied
199,Male,Loyal Customer,39,Personal Travel,73,3,3,3,4,4,4,4,0,0,Satisfied
202,Male,Loyal Customer,30,Business travel,,4,1,3,4,2,4,2,10,0,Dissatisfied
209,Female,Disloyal Customer,33,Business travel,73,4,4,4,4,4,5,4,0,0,Dissatisfied
212,Male,Loyal Customer,47,Business travel,73,2,2,2,3,4,5,4,71,66,Satisfied
215,Male,Disloyal Customer,39,Business travel,74,1,1,1,5,5,4,5,0,0,Dissatisfied
216,Male,Disloyal Customer,47,Business travel,74,2,2,2,3,3,5,3,0,0,Dissatisfied
219,Female,Loyal Customer,51,Business travel,74,1,1,1,5,1,1,4,27,25,Dissatisfied
226,Female,Disloyal Customer,22,Business travel,74,0,5,0,5,5,5,5,0,0,Satisfied
234,Male,Loyal Customer,54,Business travel,74,0,5,0,3,1,1,4,0,0,Satisfied
238,Male,Loyal Customer,52,Business travel,74,5,5,3,5,4,5,3,0,0,Satisfied
239,Female,Loyal Customer,17,Business travel,74,2,1,5,4,4,3,4,25,13,Dissatisfied
240,Female,Loyal Customer,33,Business travel,74,0,4,0,5,4,4,3,0,0,Satisfied
242,Male,Loyal Customer,48,Business travel,74,5,5,5,5,4,4,4,0,0,Satisfied
243,Female,Loyal Customer,51,Business travel,76,3,3,3,5,4,5,5,6,6,Satisfied
249,Female,Loyal Customer,39,Business travel,,2,4,3,4,4,4,4,0,0,Dissatisfied
255,Male,Loyal Customer,50,Business travel,77,3,3,5,1,4,3,2,15,9,Dissatisfied
273,Male,Loyal Customer,42,Business travel,77,5,5,5,5,4,5,5,0,0,Satisfied
276,Female,Loyal Customer,55,Business travel,77,2,2,2,4,5,5,5,0,0,Satisfied
289,Female,Disloyal Customer,40,Business travel,78,2,2,3,4,4,4,4,0,0,Neutral
303,Female,Loyal Customer,33,Business travel,78,5,5,4,1,5,5,5,0,0,Satisfied
306,Male,Loyal Customer,30,Business travel,,4,4,3,4,5,4,5,10,0,Satisfied
307,Female,Loyal Customer,16,Personal Travel,78,1,5,1,3,3,5,3,0,0,Dissatisfied
308,Female,Loyal Customer,53,Business travel,78,3,3,3,5,5,5,3,32,24,Satisfied
309,Female,Loyal Customer,60,Business travel,78,1,3,3,1,3,1,4,113,105,Dissatisfied
317,Female,Loyal Customer,38,Business travel,80,0,5,0,5,3,3,5,0,14,Satisfied
321,Male,Loyal Customer,32,Business travel,82,2,2,2,5,5,5,5,0,0,Satisfied
327,Male,Loyal Customer,35,Business travel,83,1,1,5,1,5,5,2,1,0,Satisfied
328,Male,Loyal Customer,33,Business travel,83,0,5,0,3,3,5,3,0,0,Satisfied
332,Female,Loyal Customer,35,Business travel,83,1,1,1,5,5,2,5,0,0,Satisfied
334,Male,Loyal Customer,33,Business travel,83,3,5,5,2,2,4,2,0,0,Dissatisfied
335,Male,Loyal Customer,45,Business travel,83,2,2,3,1,4,4,3,0,0,Satisfied
346,Female,Loyal Customer,50,Business travel,83,3,4,4,5,2,3,2,11,7,Dissatisfied
348,Male,Loyal Customer,30,Business travel,,5,5,3,4,5,3,5,10,0,Satisfied
351,Female,Loyal Customer,56,Business travel,83,5,5,3,4,4,4,4,0,0,Neutral
